codigo_atv,nombre_atv,codigo_tribu,nombre_tribu
802202,ENSENANZA SECUNDARIA DE FORMACION TECNICA Y PROFESIONAL NO AUTORIZADA POR EL MEP.,8522.0,Enseñanza de formación técnica y profesional
802201,ENSENANZA DE FORMACION TECNICA Y PARAUNIVERSITARIA,8530.2,Enseñanza parauniversitaria
851207,SERVICIOS DE ODONTOLOGO Y CONEXOS,8620.2,Actividades de odontólogos
919905,ASOCIACION PROAYUDA A PERSONAS ADICTAS A DROGAS E INDIGENTES,8720.0,Actividades de atención en instituciones para personas con retraso mental enfermos mentales y toxicóm
853101,FUNDACIONES DE SERVICIO SOCIAL SIN ALOJAMIENTO,8810.0,Asistencia social sin alojamiento para el adulto mayor y personas con discapacidad
923101,ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS,9101.0,Actividades de Bibliotecas y archivos
923201,GALERIAS DE ARTE,9102.0,Actividades de museos y preservación de lugares históricos
923301,ACTIVIDADES DE JARDINES BOTANICOS ZOOLOGICOS PARQUES NACIONALES Y RESERVAS NACIONALES,9103.0,Actividades de jardines botánicos zoológicos y parques naturales
911201,ACTIVIDADES DE ORGANIZACIONES PROFESIONALES,9412.0,Actividades de asociaciones profesionales
919101,ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS,9491.0,Actividades de organizaciones religiosas
919201,ACTIVIDADES DE ORGANIZACIONES POLITICAS,9492.0,Actividades de organizaciones políticas
526011,REPARACION Y MANTENIMIENTO DE EQUIPO PARA TELECOMUNICACIONES,9512.0,Reparación de equipos de comunicaciones
523927,REPARACION EQUIPO DE AUDIO Y VIDEO,9521.0,Reparación de aparatos electrónicos de consumo eléctrico
526006,REPARACION DE ARTICULOS ELECTRICOS,9522.0,Reparación de aparatos de uso doméstico y equipo doméstico y de jardinería
526001,SERVICIOS DE REPARACION DE ZAPATOS,9523.0,Reparación de calzado y artículos de cuero
930202,SALONES DE BELLEZA PELUQUERIA Y BARBERIA,9602.0,Actividades de peluquería y otros tratamientos de belleza
950001,HOGARES PRIVADOS CON SERVICIO DOMESTICO,9700.0,Actividades de los hogares como empleadores de personal doméstico
